Tip Matrice,Tip alocare,Nr threads,Timp executie
,,0,0.02519
,,4,1.40473
,,0,0.02838
,,4,1.31185
,,0,610.8876
,,2,318.9841
,,4,235.4733
,,8,195.3584
,,16,198.5158
,,0,819.7082
,,2,423.7344
,,4,288.2624
,,8,197.3782
,,16,212.1616
,,0,98.23997
,,2,33.66939
,,4,26.51166
,,8,17.48938
,,16,21.68759
,,0,64.88434
,,2,40.38211
,,4,33.21173
,,8,18.85278
,,16,22.69063
,,0,86.40045
,,2,45.64083
,,4,30.34497
,,8,21.60111
,,16,20.37873
,,0,83.74107
,,2,44.37765
,,4,29.4205
,,8,19.68272
,,16,20.62719
